Sample,ContigName,RelAbundance,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRMatch,Reads
IDT_i5_158,NODE_104_length_11838_cov_9.587202,3.11E-05,Caudovirales,Unclassified Caudovirales,N,temperate,561_0,Bifidobacterium,168
IDT_i5_158,NODE_146_length_3059_cov_5.849534,2.18E-05,Unassigned,Unassigned,N,virulent,824_0,unknown,30
IDT_i5_158,NODE_84_length_3474_cov_3.420591,2.46E-05,Unassigned,Unassigned,N,virulent,561_0,unknown,45
IDT_i5_158,NODE_46_length_10211_cov_3.575719,2.56E-05,Caudovirales,Siphoviridae,N,temperate,238_0,unknown,119
IDT_i5_158,NODE_103_length_4431_cov_5.250914,3.34E-05,Unassigned,Unassigned,N,virulent,Outlier,Parabacteroides,59
IDT_i5_158,NODE_16_length_20921_cov_7.534746,2.54E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,223
IDT_i5_158,NODE_6_length_67110_cov_45.497711,3.35E-05,Caudovirales,Siphoviridae,N,temperate,Outlier,unknown,965
IDT_i5_158,NODE_47_length_4790_cov_6.186484,4.80E-05,Caudovirales,Unclassified Caudovirales,N,virulent,548_0,Erysipelatoclostridium,95
IDT_i5_158,NODE_144_length_8880_cov_4.874674,2.97E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,116
IDT_i5_158,NODE_70_length_14922_cov_20.483756,2.53E-05,Caudovirales,Siphoviridae,N,temperate,Overlap,Bifidobacterium,175
IDT_i5_158,NODE_134_length_3491_cov_5.529977,4.00E-05,Unassigned,Unassigned,N,virulent,837_0,unknown,59
IDT_i5_158,NODE_151_length_8495_cov_221.156635,3.27E-05,Caudovirales,Podoviridae,N,virulent,835_0,Eubacterium,116
IDT_i5_158,NODE_17_length_19778_cov_7.243878,3.61E-05,Unassigned,Unassigned,N,temperate,Overlap,Bacteroides,290
IDT_i5_158,NODE_149_length_3011_cov_3.639716,2.76E-05,Caudovirales,Siphoviridae,N,virulent,882_0,unknown,34
IDT_i5_158,NODE_382_length_4535_cov_11.947321,4.42E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,Lactococcus,81
IDT_i5_158,NODE_432_length_4055_cov_67.501000,2.99E-05,Unassigned,Unassigned,N,virulent,1010_0,Bacteroides,59
IDT_i5_158,NODE_150_length_5816_cov_4.105537,2.34E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,58
IDT_i5_158,NODE_147_length_4886_cov_4.312565,2.42E-05,Caudovirales,Siphoviridae,N,temperate,862_0,Bifidobacterium,55
IDT_i5_158,NODE_482_length_3780_cov_43.422282,3.26E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,49
IDT_i5_158,NODE_274_length_3734_cov_4.092960,2.65E-05,Caudovirales,Siphoviridae,N,virulent,488_0,Lactococcus,43
IDT_i5_158,NODE_29_length_15428_cov_7.303194,3.35E-05,Caudovirales,Siphoviridae,N,virulent,312_0,unknown,225
IDT_i5_158,NODE_280_length_3628_cov_5.140218,2.26E-05,Caudovirales,Unclassified Caudovirales,N,virulent,Outlier,unknown,34
IDT_i5_158,NODE_50_length_9014_cov_8.338989,4.02E-05,Caudovirales,Myoviridae,N,virulent,423_0,unknown,152
IDT_i5_158,NODE_189_length_7257_cov_12.717717,2.77E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,84
IDT_i5_158,NODE_113_length_4156_cov_3.220434,2.30E-05,Unassigned,Unassigned,N,virulent,727_0,unknown,42
IDT_i5_158,NODE_639_length_3130_cov_7.784065,3.87E-05,Caudovirales,Siphoviridae,N,virulent,151_0,unknown,55
IDT_i5_158,NODE_92_length_3900_cov_3.451495,3.19E-05,Caudovirales,Siphoviridae,N,virulent,623_0,unknown,53
IDT_i5_158,NODE_289_length_5427_cov_6.741065,3.19E-05,no_order_Microviridae,Microviridae,N,virulent,Overlap,Faecalibacterium,75
IDT_i5_158,NODE_31_length_3387_cov_3.229892,3.27E-05,Unassigned,crAss-like phage,Y,virulent,747_0,unknown,45
IDT_i5_158,NODE_89_length_5243_cov_3.925790,2.64E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,54
IDT_i5_158,NODE_8_length_27782_cov_13.995780,3.88E-05,Caudovirales,Unclassified Caudovirales,N,virulent,312_0,unknown,447
IDT_i5_158,NODE_10_length_5910_cov_4.312553,5.94E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,140
IDT_i5_158,NODE_5_length_71718_cov_100.322440,9.84E-05,Caudovirales,Siphoviridae,N,temperate,587_0,Bacteroides,2833
IDT_i5_158,NODE_126_length_3706_cov_5.048754,2.49E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,Turicibacter,39
IDT_i5_158,NODE_344_length_3022_cov_10.699360,6.68E-05,Caudovirales,Siphoviridae,N,virulent,489_0,unknown,86
IDT_i5_158,NODE_53_length_6323_cov_4.754148,2.56E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,68
IDT_i5_158,NODE_20_length_18854_cov_47.565828,0.000235381,Caudovirales,Myoviridae,N,virulent,640_0,unknown,1775
IDT_i5_158,NODE_71_length_9056_cov_7.034663,4.42E-05,Caudovirales,Podoviridae,N,virulent,Outlier,unknown,166
IDT_i5_158,NODE_270_length_3083_cov_5.170079,4.76E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,69
IDT_i5_158,NODE_216_length_4483_cov_4.265583,3.42E-05,Caudovirales,Siphoviridae,N,virulent,623_0,unknown,66
IDT_i5_158,NODE_154_length_3036_cov_6.633009,0.000169519,Unassigned,Unassigned,N,virulent,Outlier,unknown,208
IDT_i5_158,NODE_55_length_3754_cov_4.043255,5.92E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,Flavonifractor,104
IDT_i5_158,NODE_59_length_5872_cov_4.176895,3.93E-05,Caudovirales,Siphoviridae,N,virulent,1019_0,Bacteroides,97
IDT_i5_158,NODE_60_length_16362_cov_37.728521,2.96E-05,Unassigned,Unassigned,N,virulent,679_0,unknown,202
IDT_i5_158,NODE_32_length_6371_cov_4.515833,2.80E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,75
IDT_i5_158,NODE_47_length_17699_cov_66.459420,3.41E-05,Unassigned,Unassigned,N,virulent,Overlap,unknown,244
IDT_i5_158,NODE_39_length_21136_cov_17.889521,3.51E-05,Caudovirales,Siphoviridae,N,virulent,623_0,Bifidobacterium,332
IDT_i5_158,NODE_13_length_25083_cov_12.496564,3.65E-05,Caudovirales,Unclassified Caudovirales,N,virulent,679_0,Bacteroides,370
IDT_i5_158,NODE_323_length_3167_cov_9.872751,3.65E-05,Caudovirales,Siphoviridae,N,virulent,487_0,unknown,50
IDT_i5_158,NODE_177_length_4448_cov_2.377419,4.91E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,86
IDT_i5_158,NODE_88_length_3454_cov_3.116211,2.22E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,33
IDT_i5_158,NODE_84_length_13613_cov_91.889069,3.88E-05,Caudovirales,Podoviridae,N,virulent,548_0,Erysipelatoclostridium,218
IDT_i5_158,NODE_364_length_4712_cov_4.662873,1.91E-05,Caudovirales,Siphoviridae,N,virulent,208_0,unknown,41
IDT_i5_158,NODE_459_length_3890_cov_11.968188,3.31E-05,Unassigned,Unassigned,N,virulent,Outlier,Marvinbryantia,51
IDT_i5_158,NODE_258_length_3910_cov_10.474449,4.00E-05,Caudovirales,Siphoviridae,N,virulent,154_0,unknown,71
IDT_i5_158,NODE_23_length_28416_cov_18.871373,3.03E-05,Caudovirales,Siphoviridae,N,temperate,653_0,unknown,357
IDT_i5_158,NODE_25_length_7263_cov_4.181465,3.09E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,95
IDT_i5_158,NODE_19_length_19054_cov_17.171167,3.36E-05,Caudovirales,Siphoviridae,N,temperate,Overlap,Eubacterium,264
IDT_i5_158,NODE_133_length_4997_cov_52.284703,3.66E-05,Unassigned,Unassigned,N,virulent,835_0,Eubacterium,78
IDT_i5_158,NODE_214_length_4486_cov_5.693974,0.000127971,Caudovirales,Podoviridae,N,virulent,57_0,unknown,234
IDT_i5_158,NODE_23_length_8150_cov_8.960099,2.41E-05,Unassigned,Unassigned,N,virulent,Overlap,unknown,82
IDT_i5_158,NODE_81_length_5779_cov_4.744410,3.52E-05,Caudovirales,Siphoviridae,N,virulent,Overlap,Lactococcus,98
IDT_i5_158,NODE_396_length_4406_cov_10.547001,1.83E-05,Unassigned,Unassigned,N,virulent,Singleton,unknown,34
IDT_i5_158,NODE_88_length_13102_cov_12.925194,3.05E-05,Caudovirales,Podoviridae,N,virulent,57_0,Clostridium,171
IDT_i5_158,NODE_65_length_6246_cov_101.735099,4.94E-05,no_order_Microviridae,Microviridae,N,virulent,536_0,Bacteroides,198
IDT_i5_158,NODE_108_length_6933_cov_4.444170,2.49E-05,Caudovirales,Siphoviridae,N,virulent,615_0,unknown,75
IDT_i5_158,NODE_43_length_10731_cov_8.535407,3.60E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,161
IDT_i5_158,NODE_98_length_12226_cov_10.001232,3.14E-05,Caudovirales,Myoviridae,N,temperate,Singleton,unknown,159
IDT_i5_158,NODE_16_length_19671_cov_8.560614,7.69E-05,Caudovirales,Siphoviridae,N,virulent,Overlap,unknown,688
IDT_i5_158,NODE_52_length_8675_cov_11.287355,3.41E-05,Unassigned,Unassigned,N,virulent,Overlap,unknown,120
IDT_i5_158,NODE_8_length_3272_cov_10.916071,3.41E-05,Caudovirales,Unclassified Caudovirales,N,virulent,Outlier,Clostridium,47
IDT_i5_158,NODE_75_length_6092_cov_4.494285,2.62E-05,Caudovirales,Unclassified Caudovirales,N,temperate,561_0,Bifidobacterium,75
IDT_i5_158,NODE_84_length_8046_cov_5.036416,0.000110012,Caudovirales,Unclassified Caudovirales,N,virulent,Overlap,unknown,364
IDT_i5_158,NODE_62_length_9804_cov_15.559442,2.96E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,123
IDT_i5_158,NODE_129_length_3607_cov_3.925676,3.05E-05,Unassigned,Unassigned,N,temperate,791_0,unknown,53
IDT_i5_158,NODE_49_length_9257_cov_14.278418,9.87E-05,Unassigned,Unassigned,N,virulent,643_0,Bacteroides,369
IDT_i5_158,NODE_41_length_12945_cov_9.006672,5.87E-05,Caudovirales,Siphoviridae,N,virulent,547_0,unknown,333
IDT_i5_158,NODE_51_length_8824_cov_11.153951,4.48E-05,Caudovirales,Podoviridae,N,virulent,548_0,Erysipelatoclostridium,160
IDT_i5_158,NODE_11_length_47124_cov_25.066009,3.43E-05,Caudovirales,Siphoviridae,N,temperate,782_0,Turicibacter,661
IDT_i5_158,NODE_262_length_3840_cov_8.174901,3.77E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,61
IDT_i5_158,NODE_44_length_19520_cov_6.275828,3.47E-05,Caudovirales,Siphoviridae,N,temperate,1057_0,Bifidobacterium,311
IDT_i5_158,NODE_72_length_14776_cov_7.964065,7.25E-05,Caudovirales,Siphoviridae,N,virulent,1071_0,Bifidobacterium,502
IDT_i5_158,NODE_307_length_5323_cov_18.041762,2.76E-05,Caudovirales,Siphoviridae,N,temperate,791_0,unknown,70
IDT_i5_158,NODE_59_length_7532_cov_5.395346,3.76E-05,Caudovirales,Siphoviridae,N,temperate,1057_0,Bifidobacterium,127
IDT_i5_158,NODE_93_length_4811_cov_6.759251,0.000133651,Unassigned,Unassigned,N,virulent,Outlier,unknown,268
IDT_i5_158,NODE_137_length_3476_cov_4.711488,2.78E-05,Unassigned,Unassigned,N,temperate,843_0,Bifidobacterium,45
IDT_i5_158,NODE_103_length_11889_cov_15.466115,5.17E-05,Caudovirales,Siphoviridae,N,virulent,485_0,unknown,240
IDT_i5_158,NODE_28_length_15530_cov_12.930339,5.83E-05,Unassigned,Unassigned,N,temperate,Overlap,Bacteroides,379
IDT_i5_158,NODE_86_length_5464_cov_5.646145,3.75E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,89
IDT_i5_158,NODE_22_length_18780_cov_9.311135,4.84E-05,Unassigned,Unassigned,N,virulent,530_0,unknown,374
IDT_i5_158,NODE_4_length_10781_cov_6.253216,4.79E-05,Unassigned,Unassigned,N,virulent,747_0,Bacteroides,217
IDT_i5_158,NODE_73_length_6245_cov_6.227787,3.40E-05,no_order_Microviridae,Microviridae,N,virulent,811_0,unknown,93
IDT_i5_158,NODE_62_length_6757_cov_4.461056,3.46E-05,Caudovirales,Podoviridae,N,virulent,Outlier,unknown,100
IDT_i5_158,NODE_18_length_5273_cov_8.184170,0.000179525,Unassigned,Unassigned,N,virulent,Outlier,unknown,394
IDT_i5_158,NODE_43_length_5302_cov_4.088431,3.32E-05,Unassigned,Unassigned,N,virulent,916_0,unknown,76
IDT_i5_158,NODE_257_length_5783_cov_24.140887,4.68E-05,Caudovirales,Siphoviridae,N,virulent,487_0,unknown,112
IDT_i5_158,NODE_105_length_4413_cov_4.512850,3.34E-05,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,72
IDT_i5_158,NODE_40_length_3788_cov_4.698634,4.87E-05,Unassigned,crAss-like phage,Y,virulent,Outlier,Bacteroides,75
IDT_i5_158,NODE_289_length_3530_cov_4.694676,6.73E-05,Caudovirales,Podoviridae,N,virulent,Outlier,unknown,98
IDT_i5_158,NODE_1_length_64288_cov_107.441284,5.90E-05,Caudovirales,Podoviridae,N,virulent,Overlap,Bacteroides,1521
IDT_i5_158,NODE_8_length_31973_cov_20.319663,4.56E-05,Caudovirales,Siphoviridae,N,virulent,291_0,Murdochiella,642
IDT_i5_158,NODE_98_length_7243_cov_10.892181,6.75E-05,Caudovirales,Siphoviridae,N,virulent,423_0,unknown,211
IDT_i5_158,NODE_31_length_4737_cov_3.262281,8.32E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,163
IDT_i5_158,NODE_20_length_3389_cov_3.843731,9.53E-05,Unassigned,crAss-like phage,Y,virulent,Outlier,unknown,129
IDT_i5_158,NODE_92_length_5208_cov_4.710460,5.13E-05,Caudovirales,Unclassified Caudovirales,N,virulent,1019_0,Bacteroides,114
IDT_i5_158,NODE_46_length_4953_cov_20.180686,4.14E-05,Unassigned,crAss-like phage,Y,virulent,Outlier,unknown,83
IDT_i5_158,NODE_13_length_4250_cov_4.318951,9.82E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,166
IDT_i5_158,NODE_10_length_4973_cov_4.797682,0.000165719,Unassigned,crAss-like phage,Y,virulent,Outlier,unknown,323
IDT_i5_158,NODE_45_length_7605_cov_6.757351,4.85E-05,Caudovirales,Siphoviridae,N,virulent,874_0,unknown,146
IDT_i5_158,NODE_540_length_3564_cov_7.988316,5.23E-05,Caudovirales,Siphoviridae,N,virulent,228_0,unknown,83
IDT_i5_158,NODE_54_length_3829_cov_3.400901,0.000107368,Caudovirales,Siphoviridae,N,virulent,Outlier,unknown,163
IDT_i5_158,NODE_15_length_21697_cov_8.109463,5.97E-05,Caudovirales,Siphoviridae,N,virulent,291_0,Murdochiella,579
IDT_i5_158,NODE_321_length_3194_cov_10.363492,4.96E-05,Unassigned,Unassigned,N,virulent,Singleton,unknown,77
IDT_i5_158,NODE_62_length_3234_cov_3.627241,9.21E-05,Caudovirales,Siphoviridae,N,virulent,522_0,unknown,123
IDT_i5_158,NODE_72_length_6245_cov_28.575283,7.41E-05,no_order_Microviridae,Microviridae,N,virulent,536_0,Bacteroides,264
IDT_i5_158,NODE_9_length_5610_cov_3.872727,7.84E-05,Caudovirales,crAss-like phage,Y,virulent,Outlier,unknown,174
IDT_i5_158,NODE_119_length_3965_cov_4.518159,2.50E-05,Caudovirales,Siphoviridae,N,temperate,Overlap,unknown,41
IDT_i5_158,NODE_151_length_3008_cov_4.244497,2.49E-05,Unassigned,Unassigned,N,virulent,892_0,unknown,30
IDT_i5_158,NODE_45_length_10274_cov_6.575692,2.69E-05,Caudovirales,Siphoviridae,N,virulent,623_0,Bifidobacterium,124
IDT_i5_158,NODE_66_length_6556_cov_10.481311,4.42E-05,Unassigned,Unassigned,N,virulent,Outlier,unknown,117
IDT_i5_158,NODE_8_length_19491_cov_17.685635,6.11E-05,Caudovirales,Siphoviridae,N,virulent,155_0,unknown,497
