ContigName,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRHost
NODE_118_length_3634_cov_4.522492,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_51_length_4084_cov_7.248697,Unassigned,Unassigned,N,lysogenic,638_0,unknown
NODE_28_length_25117_cov_9.303926,Caudovirales,Siphoviridae,N,lysogenic,349_0,unknown
NODE_47_length_7052_cov_5.024725,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_3_length_55070_cov_11.765064,Caudovirales,Siphoviridae,N,lysogenic,634_0,Ruthenibacterium
NODE_53_length_3492_cov_7.248763,Caudovirales,Unassigned,N,lysogenic,908_0,unknown
NODE_477_length_3819_cov_5.087141,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_14_length_18495_cov_38.874729,Caudovirales,Siphoviridae,N,lysogenic,184_0,Hungatella
NODE_180_length_4566_cov_2.582576,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_339_length_4968_cov_4.091390,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_4_length_18223_cov_10.968571,Caudovirales,Siphoviridae,N,lysogenic,184_0,Hungatella
NODE_10_length_47836_cov_11.821875,Caudovirales,Siphoviridae,N,lysogenic,564_0,Bacteroides
NODE_49_length_7501_cov_9.176605,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_144_length_3276_cov_2.892580,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_279_length_3671_cov_4.735066,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_210_length_6493_cov_8.530600,Caudovirales,Unassigned,N,lysogenic,Outlier,Bacteroides
NODE_23_length_9027_cov_5.080361,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_35_length_3503_cov_2.860499,Caudovirales,Unassigned,N,lysogenic,Overlap,unknown
NODE_19_length_15178_cov_34.231039,Unassigned,Unassigned,N,lysogenic,970_0,Bacteroides
NODE_48_length_9955_cov_9.121616,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_11_length_20842_cov_48.974936,Caudovirales,Siphoviridae,N,lysogenic,775_0,unknown
NODE_11_length_19708_cov_9.765379,Unassigned,Unassigned,N,lysogenic,426_0,Bacteroides
NODE_71_length_5137_cov_4.785714,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_10_length_43406_cov_24.479389,Caudovirales,Siphoviridae,N,lysogenic,205_0,Prevotella
NODE_1_length_40002_cov_17.163592,Caudovirales,Siphoviridae,N,lysogenic,513_0,unknown
NODE_46_length_9540_cov_10.312915,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_23_length_4884_cov_2.413957,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_107_length_3047_cov_3.422126,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_137_length_3246_cov_6.132874,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_93_length_7049_cov_7.553474,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_32_length_5815_cov_5.126389,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Hungatella
NODE_17_length_9573_cov_5.378441,Caudovirales,Unassigned,N,lysogenic,Overlap,unknown
NODE_11_length_8505_cov_8.902367,Caudovirales,Siphoviridae,N,lysogenic,Singleton,Enterocloster
NODE_15_length_29391_cov_9.029725,Caudovirales,Siphoviridae,N,lysogenic,911_0,Subdoligranulum
NODE_147_length_4886_cov_4.312565,Caudovirales,Siphoviridae,N,lysogenic,862_0,Bifidobacterium
NODE_109_length_6167_cov_4.913285,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_21_length_7678_cov_11.009052,Unassigned,Unassigned,N,lysogenic,837_0,unknown
NODE_35_length_5139_cov_28.148702,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_18_length_34165_cov_19.467869,Caudovirales,Siphoviridae,N,lysogenic,292_0,Clostridium
NODE_152_length_8416_cov_6.751585,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_21_length_10000_cov_6.734439,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_46_length_10211_cov_3.575719,Caudovirales,Siphoviridae,N,lysogenic,238_0,unknown
NODE_74_length_8808_cov_4.851023,Caudovirales,Siphoviridae,N,lysogenic,231_0,unknown
NODE_19_length_10792_cov_7.608084,no_order_Mimiviridae,Mimiviridae,N,lysogenic,Singleton,unknown
NODE_5_length_32013_cov_7.792415,Caudovirales,Siphoviridae,N,lysogenic,634_0,unknown
NODE_186_length_4209_cov_9.467983,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_125_length_6143_cov_10.832622,Caudovirales,Unassigned,N,lysogenic,Outlier,Bacteroides
NODE_27_length_6083_cov_4.982415,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Hungatella
NODE_285_length_3331_cov_5.751832,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_23_length_28416_cov_18.871373,Caudovirales,Siphoviridae,N,lysogenic,653_0,unknown
NODE_140_length_3316_cov_5.015946,Caudovirales,Siphoviridae,N,lysogenic,862_0,Bifidobacterium
NODE_55_length_8749_cov_26.278353,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_82_length_4416_cov_5.347627,Unassigned,Unassigned,N,lysogenic,629_0,Bacteroides
NODE_44_length_19520_cov_6.275828,Caudovirales,Siphoviridae,N,lysogenic,1057_0,Bifidobacterium
NODE_264_length_3787_cov_4.853966,Caudovirales,Unassigned,N,lysogenic,Outlier,unknown
NODE_73_length_5047_cov_5.818109,Caudovirales,Unassigned,N,lysogenic,Outlier,Hungatella
NODE_28_length_6528_cov_5.860961,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_18_length_13786_cov_6.311922,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_250_length_5846_cov_3.870316,Caudovirales,Unassigned,N,lysogenic,942_0,unknown
NODE_80_length_5042_cov_3.680770,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_140_length_5742_cov_5.259012,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_141_length_4027_cov_3.805639,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_142_length_3243_cov_4.186951,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_1_length_44454_cov_23.564202,Caudovirales,Siphoviridae,N,lysogenic,367_0,Salmonella
NODE_27_length_19446_cov_11.744675,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_151_length_4508_cov_4.845497,Unassigned,Unassigned,N,lysogenic,638_0,unknown
NODE_21_length_22259_cov_20.752162,Caudovirales,Siphoviridae,N,lysogenic,671_0,unknown
NODE_403_length_4320_cov_3.621336,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_134_length_4734_cov_6.408634,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_27_length_11095_cov_6.547826,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_70_length_8173_cov_22.959596,Unassigned,Unassigned,N,lysogenic,639_0,unknown
NODE_253_length_3348_cov_6.605223,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_3_length_44406_cov_11.740299,Caudovirales,Siphoviridae,N,lysogenic,579_0,Bacteroides
NODE_62_length_6124_cov_5.687428,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_200_length_4259_cov_6.412940,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_14_length_31051_cov_18.336495,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_21_length_15617_cov_18.947886,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_18_length_21360_cov_8.801408,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_4_length_37015_cov_30.712554,Caudovirales,Siphoviridae,N,lysogenic,184_0,Hungatella
NODE_76_length_10230_cov_3.835676,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Holdemania
NODE_279_length_3140_cov_3.124797,Unassigned,Unassigned,N,lysogenic,1022_0,unknown
NODE_177_length_5159_cov_3.487657,Caudovirales,Myoviridae,N,lysogenic,942_0,unknown
NODE_9_length_41375_cov_39.108955,Caudovirales,Myoviridae,N,lysogenic,780_0,Holdemania
NODE_27_length_25288_cov_14.252447,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_179_length_4419_cov_2.841201,Caudovirales,Unassigned,N,lysogenic,Outlier,Ruminococcus
NODE_33_length_16132_cov_18.801518,Caudovirales,Siphoviridae,N,lysogenic,412_0,unknown
NODE_24_length_5393_cov_5.044586,Caudovirales,Myoviridae,N,lysogenic,Outlier,unknown
NODE_49_length_8038_cov_6.437304,Caudovirales,Unassigned,N,lysogenic,Overlap,unknown
NODE_18_length_10979_cov_7.297235,Caudovirales,Siphoviridae,N,lysogenic,714_0,unknown
NODE_96_length_12349_cov_5.192696,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_11_length_47124_cov_25.066009,Caudovirales,Siphoviridae,N,lysogenic,782_0,Turicibacter
NODE_150_length_3568_cov_5.982636,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_104_length_11838_cov_9.587202,Caudovirales,Unassigned,N,lysogenic,561_0,Bifidobacterium
NODE_28_length_15530_cov_12.930339,Unassigned,Unassigned,N,lysogenic,Overlap,Bacteroides
NODE_53_length_6630_cov_10.455817,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_2_length_89549_cov_11.879981,Caudovirales,Siphoviridae,N,lysogenic,238_0,unknown
NODE_11_length_15382_cov_11.689633,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster
NODE_101_length_6422_cov_5.257264,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_111_length_3931_cov_5.560888,Caudovirales,Unassigned,N,lysogenic,Singleton,unknown
NODE_10_length_8341_cov_5.060463,Unassigned,Unassigned,N,lysogenic,565_0,unknown
NODE_614_length_3237_cov_47.926461,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_69_length_3370_cov_6.319457,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_70_length_14922_cov_20.483756,Caudovirales,Siphoviridae,N,lysogenic,Overlap,Bifidobacterium
NODE_12_length_43852_cov_44.843848,Caudovirales,Siphoviridae,N,lysogenic,593_0,unknown
NODE_49_length_3774_cov_4.067222,Caudovirales,Siphoviridae,N,lysogenic,412_0,Erysipelatoclostridium
NODE_255_length_3251_cov_3.792866,Unassigned,Unassigned,N,lysogenic,563_0,unknown
NODE_1_length_26067_cov_86.949408,Caudovirales,Siphoviridae,N,lysogenic,729_0,Enterocloster
NODE_3_length_46381_cov_17.769482,Caudovirales,Myoviridae,N,lysogenic,262_0,unknown
NODE_20_length_11667_cov_12.502670,Caudovirales,Siphoviridae,N,lysogenic,693_0,Clostridium
NODE_31_length_5876_cov_5.467617,Unassigned,Unassigned,N,lysogenic,Outlier,Bacteroides
NODE_8_length_11266_cov_27.948800,Caudovirales,Siphoviridae,N,lysogenic,693_0,Clostridium
NODE_1_length_58003_cov_26.502692,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_147_length_3031_cov_3.448589,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_15_length_15790_cov_13.170766,Caudovirales,Siphoviridae,N,lysogenic,910_0,unknown
NODE_24_length_4807_cov_6.368056,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_28_length_8748_cov_8.400667,Caudovirales,Siphoviridae,N,lysogenic,Singleton,Achromobacter
NODE_8_length_15089_cov_10.661368,Caudovirales,Siphoviridae,N,lysogenic,544_0,Clostridium
NODE_76_length_4903_cov_8.467616,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_42_length_4540_cov_4.837235,Unassigned,Unassigned,N,lysogenic,Outlier,Enterocloster
NODE_35_length_20774_cov_17.473382,Unassigned,Unassigned,N,lysogenic,Singleton,Prevotella
NODE_24_length_14117_cov_12.740649,Caudovirales,Siphoviridae,N,lysogenic,639_0,unknown
NODE_3_length_72388_cov_146.118922,Caudovirales,Siphoviridae,N,lysogenic,587_0,Bacteroides
NODE_100_length_5255_cov_5.352500,Caudovirales,Myoviridae,N,lysogenic,234_0,Clostridium
NODE_10_length_20275_cov_28.554649,Caudovirales,Myoviridae,N,lysogenic,Overlap,Bacteroides
NODE_11_length_28128_cov_27.424500,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_107_length_6378_cov_7.442828,Caudovirales,Siphoviridae,N,lysogenic,603_0,Clostridium
NODE_172_length_4824_cov_4.574544,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_3_length_32565_cov_38.430944,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_122_length_3787_cov_3.575831,Caudovirales,Siphoviridae,N,lysogenic,Outlier,unknown
NODE_44_length_8699_cov_4.663582,Caudovirales,Podoviridae,N,lysogenic,Singleton,Clostridium
NODE_35_length_3076_cov_2.861304,Unassigned,Unassigned,N,lysogenic,Outlier,Bacteroides
NODE_55_length_4628_cov_2.027553,Caudovirales,Siphoviridae,N,lysogenic,603_0,Clostridium
NODE_8_length_50043_cov_30.400896,Caudovirales,Siphoviridae,N,lysogenic,564_0,Bacteroides
NODE_60_length_6733_cov_6.232405,Caudovirales,Unassigned,N,lysogenic,547_0,unknown
NODE_316_length_3182_cov_8.784458,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_131_length_6364_cov_3.124901,Caudovirales,Myoviridae,N,lysogenic,234_0,Clostridium
NODE_9_length_30310_cov_12.682532,Caudovirales,Siphoviridae,N,lysogenic,579_0,Bacteroides
NODE_6_length_25317_cov_16.760352,Caudovirales,Unassigned,N,lysogenic,926_0,unknown
NODE_91_length_5789_cov_10.400419,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_4_length_29312_cov_25.858085,Caudovirales,Siphoviridae,N,lysogenic,367_0,Salmonella
NODE_96_length_4855_cov_9.974375,Caudovirales,Unassigned,N,lysogenic,Outlier,unknown
NODE_10_length_10541_cov_6.620256,Caudovirales,Siphoviridae,N,lysogenic,Outlier,unknown
NODE_129_length_3607_cov_3.925676,Unassigned,Unassigned,N,lysogenic,791_0,unknown
NODE_16_length_17338_cov_10.031997,Unassigned,Unassigned,N,lysogenic,926_0,unknown
NODE_271_length_3192_cov_5.209755,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_62_length_5088_cov_12.547983,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Clostridium
NODE_72_length_5094_cov_8.588410,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_51_length_3276_cov_2.088792,Caudovirales,Siphoviridae,N,lysogenic,793_0,Erysipelatoclostridium
NODE_179_length_4434_cov_4.109386,Unassigned,Unassigned,N,lysogenic,758_0,unknown
NODE_347_length_4861_cov_6.149397,Caudovirales,Myoviridae,N,lysogenic,Singleton,Ruminococcus
NODE_1_length_100474_cov_13.361963,Caudovirales,Siphoviridae,N,lysogenic,338_0,unknown
NODE_15_length_20872_cov_9.459816,Caudovirales,Siphoviridae,N,lysogenic,855_0,unknown
NODE_89_length_3522_cov_5.539371,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_3_length_44958_cov_10.594481,Caudovirales,Myoviridae,N,lysogenic,262_0,unknown
NODE_123_length_5021_cov_3.905759,Caudovirales,Siphoviridae,N,lysogenic,793_0,Erysipelatoclostridium
NODE_10_length_26612_cov_7.377942,Caudovirales,Siphoviridae,N,lysogenic,Overlap,unknown
NODE_2_length_44283_cov_59.941349,Caudovirales,Siphoviridae,N,lysogenic,579_0,Bacteroides
NODE_136_length_5186_cov_4.765933,Unassigned,Unassigned,N,lysogenic,Overlap,unknown
NODE_21_length_13025_cov_7.041557,Unassigned,Unassigned,N,lysogenic,Overlap,Bacteroides
NODE_38_length_20011_cov_14.490579,Unassigned,Unassigned,N,lysogenic,1000_0,Prevotella
NODE_33_length_14453_cov_7.133907,Caudovirales,Podoviridae,N,lysogenic,244_0,Salmonella
NODE_1_length_72039_cov_62.727551,Caudovirales,Siphoviridae,N,lysogenic,587_0,Bacteroides
NODE_9_length_15084_cov_17.345133,Caudovirales,Siphoviridae,N,lysogenic,729_0,Enterocloster
NODE_21_length_10309_cov_21.577141,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster
NODE_49_length_7010_cov_9.489288,Unassigned,Unassigned,N,lysogenic,Outlier,Enterocloster
NODE_9_length_22200_cov_16.007361,Unassigned,Unassigned,N,lysogenic,Outlier,Bacteroides
NODE_20_length_32110_cov_8.777507,Caudovirales,Siphoviridae,N,lysogenic,234_0,Clostridium
NODE_10_length_37110_cov_65.700931,Caudovirales,Siphoviridae,N,lysogenic,230_0,Ideonella
NODE_125_length_5489_cov_8.649614,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_69_length_3068_cov_205.909061,Unassigned,Unassigned,N,lysogenic,Outlier,Enterocloster
NODE_17_length_19778_cov_7.243878,Unassigned,Unassigned,N,lysogenic,Overlap,Bacteroides
NODE_75_length_6092_cov_4.494285,Caudovirales,Unassigned,N,lysogenic,561_0,Bifidobacterium
NODE_157_length_3015_cov_3.555743,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_46_length_10293_cov_5.776128,Unassigned,Unassigned,N,lysogenic,1063_0,unknown
NODE_10_length_14032_cov_7.754024,Unassigned,Unassigned,N,lysogenic,Overlap,Bacteroides
NODE_35_length_10550_cov_4.832778,Caudovirales,Siphoviridae,N,lysogenic,603_0,Clostridium
NODE_187_length_4061_cov_14.694708,Unassigned,Unassigned,N,lysogenic,Singleton,unknown
NODE_1_length_92670_cov_8.799428,Caudovirales,Siphoviridae,N,lysogenic,338_0,unknown
NODE_36_length_17907_cov_8.655445,Caudovirales,Siphoviridae,N,lysogenic,547_0,unknown
NODE_221_length_3384_cov_7.435566,Caudovirales,Unassigned,N,lysogenic,742_0,unknown
NODE_74_length_3297_cov_4.799198,Unassigned,Unassigned,N,lysogenic,Outlier,unknown
NODE_313_length_5211_cov_3.038208,Caudovirales,Siphoviridae,N,lysogenic,Singleton,Faecalibacterium
NODE_88_length_4063_cov_3.581836,Unassigned,Unassigned,N,lysogenic,Overlap,unknown
NODE_9_length_52492_cov_13.236589,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_45_length_4251_cov_4.086273,Caudovirales,Myoviridae,N,lysogenic,345_0,unknown
NODE_22_length_5288_cov_4.442767,Unassigned,Unassigned,N,lysogenic,767_0,Hungatella
NODE_7_length_21942_cov_25.551469,Caudovirales,Siphoviridae,N,lysogenic,729_0,Enterocloster
NODE_6_length_22901_cov_5.962182,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_90_length_3252_cov_3.152330,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Hungatella
NODE_13_length_14000_cov_7.346648,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_328_length_5045_cov_3.998998,Caudovirales,Siphoviridae,N,lysogenic,Singleton,unknown
NODE_28_length_8313_cov_6.955437,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Escherichia
NODE_16_length_21840_cov_13.035529,Caudovirales,Siphoviridae,N,lysogenic,Outlier,unknown
NODE_98_length_12226_cov_10.001232,Caudovirales,Myoviridae,N,lysogenic,Singleton,unknown
NODE_4_length_61283_cov_198.028582,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_10_length_16807_cov_4.631566,Caudovirales,Unassigned,N,lysogenic,191_0,Clostridium
NODE_9_length_9918_cov_7.260874,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_19_length_8833_cov_4.286512,Unassigned,Unassigned,N,lysogenic,799_0,unknown
NODE_4_length_17678_cov_30.788685,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Escherichia
NODE_6_length_33136_cov_29.376530,Caudovirales,Siphoviridae,N,lysogenic,231_0,unknown
NODE_59_length_16423_cov_10.105205,Caudovirales,Podoviridae,N,lysogenic,Overlap,unknown
NODE_1_length_60259_cov_59.888213,Caudovirales,Siphoviridae,N,lysogenic,148_0,unknown
NODE_12_length_27897_cov_22.777494,Caudovirales,Podoviridae,N,lysogenic,Overlap,unknown
NODE_49_length_4838_cov_22.539410,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Clostridiales
NODE_19_length_5541_cov_3.861648,Caudovirales,Siphoviridae,N,lysogenic,345_0,unknown
NODE_69_length_14939_cov_7.147071,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Faecalibacterium
NODE_62_length_4263_cov_3.629515,Unassigned,Unassigned,N,lysogenic,Overlap,unknown
NODE_19_length_8339_cov_8.236480,Caudovirales,Myoviridae,N,lysogenic,345_0,unknown
NODE_101_length_7345_cov_5.175995,Caudovirales,Myoviridae,N,lysogenic,345_0,unknown
NODE_4_length_51459_cov_48.982161,Caudovirales,Siphoviridae,N,lysogenic,729_0,Enterocloster
NODE_17_length_13966_cov_12.296168,Caudovirales,Siphoviridae,N,lysogenic,345_0,unknown
NODE_15_length_41045_cov_76.314174,Caudovirales,Myoviridae,N,lysogenic,Overlap,Bacteroides
