Sample,ContigName,RelAbundance,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRMatch,Reads,Treatment
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_11_length_23369_cov_6_038207-cat_2,0.00034043,Caudovirales,Siphoviridae,N,lytic,663_0,Bacteroides,294,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_40_length_8129_cov_2_611222-cat_2,0.00034688,Caudovirales,Siphoviridae,N,lytic,665_0,Bacteroides,99,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_10_length_17345_cov_2_941863-cat_1,0.000347905,Caudovirales,Myoviridae,N,lytic,655_0,Rubneribacter,265,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_14_length_5220_cov_2_608482-cat_2,0.000367745,Unassigned,Unassigned,N,lytic,Outlier,NA,75,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_61_length_5716_cov_4_317230-cat_2,0.000378576,Unassigned,Unassigned,N,lytic,Outlier,NA,73,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_59_length_3646_cov_3_961353-circular-cat_2,0.00039124,Unassigned,Unassigned,N,lytic,Singleton,NA,51,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_170_length_3579_cov_1_596756-cat_2,0.000403231,Unassigned,Unassigned,N,lytic,Outlier,NA,51,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_20_length_6468_cov_23_592115-cat_2,0.000426149,Unassigned,Unassigned,N,lytic,Outlier,Bacteroides,106,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_30919_cov_19_392764-cat_2,0.000469288,Caudovirales,Siphoviridae,N,lytic,595_0,Bacteroides,539,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_10_length_23392_cov_14_695809-cat_2,0.00047178,Caudovirales,Caudovirales,N,lytic,595_0,Bacteroides,404,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_115_length_5768_cov_3_057082-cat_2,0.000518139,Unassigned,Unassigned,N,lytic,Outlier,NA,114,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_65_length_4642_cov_55_475748-cat_2,0.00052549,Unassigned,Unassigned,N,lytic,733_0,Erysipelatoclostridium,86,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_5_length_19058_cov_4_614812-cat_2,0.000536195,Caudovirales,Caudovirales,N,lytic,595_0,Bacteroides,374,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_1_length_23950_cov_8_152542-cat_2,0.000560118,Caudovirales,Siphoviridae,N,lytic,595_0,Bacteroides,479,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_4_length_14796_cov_5_061763-cat_2,0.000560362,Caudovirales,Myoviridae,N,lytic,Outlier,Bacteroides,305,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_138_length_3952_cov_2_307190-cat_1,0.000561982,Caudovirales,Myoviridae,N,lytic,Overlap,NA,95,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_7_length_27486_cov_8_302789-cat_2,0.000578509,Caudovirales,Caudovirales,N,lytic,595_0,Bacteroides,565,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_124_length_4459_cov_30_228301-cat_2,0.000608848,Unassigned,Unassigned,N,lytic,658_0,Clostridium,98,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_12_length_13477_cov_16_770262-cat_2,0.000658954,Caudovirales,Caudovirales,N,lytic,595_0,NA,314,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_12861_cov_68_809801-cat_1,0.000690892,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,315,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_238_length_3085_cov_1_488168-cat_2,0.000720775,Unassigned,Unassigned,N,lytic,Outlier,Clostridium,78,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_16_length_14992_cov_5_309250-cat_2,0.000735629,Caudovirales,Myoviridae,N,lytic,595_0,NA,392,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_52_length_3912_cov_12_580094-cat_2,0.000740998,Caudovirales,Caudovirales,N,lytic,Outlier,NA,106,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_27_length_5754_cov_605_620046-cat_1,0.000751693,Caudovirales,Siphoviridae,N,lytic,Outlier,Clostridium,158,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_36_length_3691_cov_26_846801-circular-cat_2,0.000785389,Unassigned,Unassigned,N,lytic,Singleton,NA,101,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_49_length_6276_cov_2_252074-cat_1,0.000787718,Caudovirales,Caudovirales,N,lytic,658_0,Clostridium,181,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_1_length_13028_cov_5_714208-cat_2,0.000806579,Caudovirales,Myoviridae,N,lytic,595_0,NA,365,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_48_length_3053_cov_3_019822-cat_2,0.000823667,Unassigned,Unassigned,N,lytic,Overlap,NA,108,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_32_length_4912_cov_7_249530-circular-cat_2,0.000827866,Unassigned,Unassigned,N,lytic,704_0,NA,153,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_6_length_20996_cov_14_825722-cat_2,0.000838797,Caudovirales,Caudovirales,N,lytic,595_0,Bacteroides,630,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_8_length_8085_cov_46_650163-cat_1,0.000843279,Caudovirales,Caudovirales,N,lytic,658_0,Clostridium,237,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_14_length_4912_cov_5_457053-circular-cat_2,0.000862629,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,151,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_4_length_8352_cov_5_145046-cat_2,0.000924731,Caudovirales,Caudovirales,N,lytic,Outlier,NA,269,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_22_length_6980_cov_169_502116-cat_1,0.000927898,Caudovirales,Caudovirales,N,lytic,658_0,Clostridium,221,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_39_length_9085_cov_28_511610-cat_2,0.000930507,Unassigned,Unassigned,N,lytic,Outlier,NA,292,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_34_length_11573_cov_251_539053-cat_1,0.000938151,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,374,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_13_length_5522_cov_3_749768-cat_2,0.000942042,Unassigned,Unassigned,N,lytic,Outlier,NA,176,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_14_length_8527_cov_6_906905-cat_2,0.000946075,Caudovirales,Caudovirales,N,lytic,Outlier,NA,278,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_10_length_6538_cov_3_435190-cat_2,0.000948418,Caudovirales,Caudovirales,N,lytic,Outlier,NA,211,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_59_length_3274_cov_541_052113-cat_1,0.000977029,Unassigned,Unassigned,N,lytic,658_0,Clostridium,111,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_14_length_6207_cov_4_461513-cat_2,0.000993776,Unassigned,Unassigned,N,lytic,Outlier,NA,210,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_30_length_7178_cov_4_511842-cat_2,0.001019214,Unassigned,Unassigned,N,lytic,Outlier,NA,262,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_66_length_4049_cov_5_847782-cat_2,0.00104705,Unassigned,Unassigned,N,lytic,Outlier,Bacteroides,150,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_104_length_4923_cov_31_384279-cat_2,0.001065089,Unassigned,Unassigned,N,lytic,Outlier,NA,177,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_44_length_3457_cov_258_821622-cat_2,0.001081279,Caudovirales,Caudovirales,N,lytic,Outlier,Clostridium,122,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_93_length_5081_cov_3_085789-cat_2,0.001103272,Unassigned,Unassigned,N,lytic,Outlier,NA,195,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_116_length_4640_cov_3_411700-cat_2,0.001118584,Caudovirales,Caudovirales,N,lysogenic,Outlier,Bacteroides,177,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_11_length_8090_cov_3_453096-cat_1,0.001144825,Caudovirales,Caudovirales,N,lytic,658_0,Clostridium,322,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_119_length_5483_cov_24_117065-cat_2,0.001170145,Caudovirales,Caudovirales,N,lytic,Outlier,Bacteroides,229,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_83_length_7358_cov_9_644724-cat_2,0.00117245,Caudovirales,Caudovirales,N,lytic,Outlier,NA,307,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_51_length_3989_cov_114_750388-cat_2,0.001179892,Unassigned,Unassigned,N,lytic,Outlier,Clostridium,165,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_14_length_15650_cov_93_585003-cat_1,0.001215642,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,667,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_226_length_3141_cov_54_609489-cat_1,0.001229675,Caudovirales,Podoviridae,N,lytic,732_0,Clostridium,135,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_21_length_7082_cov_4_339612-cat_1,0.001235112,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,314,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_16_length_7999_cov_2_435595-cat_2,0.001237074,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,349,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_110_length_4548_cov_3_405338-circular-cat_2,0.001288994,Caudovirales,Podoviridae,N,lytic,Outlier,Bacteroides,201,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_12904_cov_3_497456-cat_2,0.001342164,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,599,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_23_length_10367_cov_278_261230-cat_1,0.001360083,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,464,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_162_length_3123_cov_2_666555-cat_2,0.001362767,Unassigned,Unassigned,N,lytic,758_0,NA,150,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_77_length_7592_cov_18_951373-cat_1,0.001368796,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,362,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_79_length_5963_cov_1_877485-cat_2,0.001407264,Caudovirales,Siphoviridae,N,lytic,734_0,Bacteroides,299,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_11_length_13713_cov_33_872737-cat_1,0.001411156,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,658,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_5_length_28185_cov_11_124029-cat_1,0.001428029,Caudovirales,Siphoviridae,N,lysogenic,Overlap,Bacteroides,1418,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_24_length_11128_cov_6_902736-cat_2,0.001432082,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,567,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_129_length_3478_cov_192_334527-cat_2,0.001435332,Caudovirales,Caudovirales,N,lytic,Outlier,NA,177,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_43_length_6291_cov_2_916613-cat_2,0.001437935,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,313,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_6207_cov_1_921217-cat_1,0.001441929,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,294,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_79_length_4157_cov_337_090819-cat_1,0.00144662,Caudovirales,Podoviridae,N,lytic,Outlier,Clostridium,205,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_36_length_10560_cov_2_688201-cat_2,0.001452903,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,520,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_55_length_3134_cov_450_542401-cat_1,0.001486585,Unassigned,Unassigned,N,lytic,Singleton,Clostridium,165,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_243_length_4000_cov_4_289698-cat_2,0.001498673,Unassigned,Unassigned,N,lysogenic,Outlier,Bacteroides,202,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_11692_cov_3_521833-cat_1,0.001499394,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,601,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_80_length_4484_cov_2_056461-cat_1,0.001509385,Caudovirales,Podoviridae,N,lytic,Outlier,Erysipelatoclostridium,238,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_37_length_8573_cov_4_528771-cat_2,0.00151525,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,452,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_67_length_4552_cov_2_321582-cat_2,0.001524121,Caudovirales,Podoviridae,N,lytic,734_0,Bacteroides,252,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_26_length_5595_cov_3_889722-cat_2,0.001536261,Unassigned,Unassigned,N,lytic,758_0,Bacteroides,312,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_3_length_8942_cov_3_633466-cat_2,0.001540834,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,486,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_35_length_3579_cov_2_149479-cat_1,0.001563785,Caudovirales,Podoviridae,N,lytic,Outlier,Clostridium,189,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_164_length_4242_cov_14_724651-cat_1,0.001570203,Unassigned,Unassigned,N,lytic,759_0,NA,248,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_3_length_10637_cov_5_902474-cat_2,0.001573292,Caudovirales,Myoviridae,N,lytic,Outlier,NA,610,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_48_length_6800_cov_2_009291-cat_2,0.001575334,Caudovirales,Caudovirales,N,lytic,734_0,Bacteroides,383,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_4_length_10271_cov_4_388900-cat_1,0.001609621,Caudovirales,Podoviridae,N,lytic,658_0,Clostridium,585,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_229_length_4197_cov_1_637101-cat_2,0.001609912,Unassigned,Unassigned,N,lytic,758_0,Bacteroides,263,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_36_length_4953_cov_471_554704-cat_1,0.001621023,Caudovirales,Podoviridae,N,lytic,Outlier,Erysipelatoclostridium,280,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_18_length_15402_cov_5_850213-cat_2,0.001670496,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,884,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_28_length_6511_cov_334_175909-cat_1,0.001778964,Caudovirales,Podoviridae,N,lytic,732_0,Clostridium,404,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_76_length_5428_cov_11_593473-cat_2,0.001786111,Caudovirales,Podoviridae,N,lytic,733_0,Erysipelatoclostridium,341,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_15_length_7114_cov_34_941176-cat_2,0.00225555,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,600,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_80_length_3375_cov_1_425800-cat_2,0.002745968,Unassigned,Unassigned,N,lytic,Outlier,Bacteroides,369,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_7_length_26000_cov_15_682217-cat_1,0.002863505,Caudovirales,Siphoviridae,N,lysogenic,654_0,Bacteroides,2670,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_33_length_4787_cov_15_845279-circular-cat_2,0.003419505,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,587,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_17_length_4275_cov_11_108245-circular-cat_2,0.003577723,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,600,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_55_length_5823_cov_3_531777-cat_1,0.003676956,Unassigned,Unassigned,N,lytic,759_0,NA,774,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_73_length_3927_cov_1_386053-cat_2,0.003698565,Unassigned,Unassigned,N,lytic,Outlier,Alistipes,552,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_127_length_4142_cov_2_984807-cat_2,0.003947887,Unassigned,Unassigned,N,lytic,Outlier,Bacteroides,601,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_143_length_4732_cov_18_712921-cat_2,0.004129228,Unassigned,Unassigned,N,lytic,Outlier,Alistipes,722,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_137_length_5419_cov_2_643613-cat_2,0.004206039,Caudovirales,Podoviridae,N,lytic,Outlier,NA,789,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_1_length_57294_cov_124_944741-circular-cat_1,0.004262585,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,8538,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_11_length_57290_cov_70_281388-circular-cat_1,0.004280275,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,8443,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_78_length_4447_cov_2_631019-cat_2,0.004432191,Unassigned,Unassigned,N,lytic,Outlier,NA,701,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_6_length_26227_cov_35_958199-cat_1,0.004532972,Caudovirales,Siphoviridae,N,lytic,529_0,Bacteroides,4321,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_75_length_5220_cov_1_848812-cat_2,0.004704564,Caudovirales,Siphoviridae,N,lytic,Outlier,Alistipes,925,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_3_length_57227_cov_15_151051-cat_1,0.004759679,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,9429,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_15_length_12588_cov_57_790547-cat_2,0.004949339,Caudovirales,Siphoviridae,N,lytic,529_0,Alistipes,2255,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_7_length_4276_cov_7_654375-circular-cat_2,0.005152411,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,806,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_1_length_49181_cov_14_513964-cat_1,0.00518616,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,8779,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_7_length_41097_cov_6_272687-cat_1,0.005205961,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,7427,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_10_length_16157_cov_3_697692-cat_1,0.005536723,Caudovirales,Siphoviridae,N,lytic,526_0,Alistipes,3303,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_115_length_3288_cov_1_874407-cat_1,0.00555546,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,695,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_15_length_4276_cov_3_457942-circular-cat_2,0.005592723,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,861,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_38_length_12852_cov_3_429312-cat_1,0.005722543,Caudovirales,Siphoviridae,N,lytic,526_0,Bacteroides,2714,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_7_length_37102_cov_5_951210-cat_1,0.005766786,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,7375,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_33_length_5420_cov_3_192707-cat_2,0.005786421,Unassigned,Unassigned,N,lytic,704_0,Bacteroides,1147,No_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__1-1_10_03],VIRSorter_NODE_2_length_43012_cov_7_072310-cat_1,0.005788955,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,8473,No_Phage
